Ano,Mês,Precipitação (mm),Precipitação (mm),Precipitação (mm),Precipitação (mm)
2013,12,191.15,153.8,930.0,0.2
2014,1,132.47,123.2,468.6,0.0
2014,2,143.23,118.4,785.8,1.4
2014,3,177.1,156.2,677.6,4.0
2014,4,126.28,102.2,779.2,0.0
2014,5,96.83,62.0,788.0,0.0
2014,6,72.01,20.2,491.2,0.0
2014,7,64.24,44.4,296.6,0.0
2014,8,30.55,11.8,278.6,0.0
2014,9,72.42,40.8,493.4,0.0
2014,10,80.74,64.4,375.8,0.0
2014,11,142.65,140.2,397.0,0.0
2014,12,167.11,164.2,565.2,0.0
2015,1,110.93,93.8,481.2,0.0
2015,2,164.23,155.6,538.6,3.6
2015,3,168.42,152.0,662.6,0.0
2015,4,119.23,96.6,523.0,0.0
2015,5,99.49,81.2,451.6,0.0
2015,6,65.71,28.8,465.4,0.0
2015,7,80.69,29.6,448.4,0.0
2015,8,28.31,12.6,337.6,0.0
2015,9,68.93,34.4,375.0,0.0
2015,10,88.2,55.2,568.8,0.0
2015,11,134.26,127.2,459.2,0.0
2015,12,141.22,128.6,560.4,0.0
2016,1,256.62,249.2,758.0,0.0
2016,2,129.45,107.4,653.4,0.0
2016,3,158.66,136.0,655.0,0.0
2016,4,82.64,46.2,650.2,0.0
2016,5,73.74,48.0,451.6,0.0
2016,6,49.02,32.2,338.4,0.0
2016,7,32.99,5.4,255.4,0.0
2016,8,51.64,28.2,382.8,0.0
2016,9,43.12,34.6,226.8,0.0
2016,10,105.09,89.6,400.0,0.0
2016,11,129.11,110.8,650.0,0.0
2016,12,161.24,151.4,791.2,0.0
2017,1,162.25,154.8,617.0,0.0
2017,2,163.78,144.0,598.2,0.6
2017,3,163.96,139.4,716.0,0.2
2017,4,134.36,112.2,550.2,0.6
2017,5,122.81,89.0,661.6,0.4
2017,6,62.95,31.0,511.0,0.0
2017,7,29.54,3.6,487.4,0.0
2017,8,47.36,22.2,284.6,0.0
2017,9,39.58,17.2,292.8,0.0
2017,10,105.52,79.8,567.6,0.0
2017,11,148.57,149.8,486.4,0.0
2017,12,177.66,172.8,493.4,0.0
2018,1,181.02,179.6,492.0,0.0
2018,2,194.33,171.8,738.0,7.6
2018,3,176.21,159.8,763.4,5.6
2018,4,111.29,77.0,618.2,0.0
2018,5,69.58,39.6,594.8,0.0
2018,6,45.71,15.2,403.0,0.0
2018,7,33.3,4.0,443.8,0.0
2018,8,49.21,37.6,224.2,0.0
2018,9,74.65,53.8,338.6,0.0
2018,10,127.36,109.4,448.6,0.0
2018,11,173.28,159.6,567.2,0.0
2018,12,168.33,161.2,549.8,0.4
2019,1,142.78,121.6,685.4,0.0
2019,2,184.93,173.2,725.0,0.2
2019,3,193.59,166.4,850.8,7.0
2019,4,149.63,126.6,688.6,0.6
2019,5,118.42,74.8,829.4,0.0
2019,6,45.45,20.0,728.4,0.0
2019,7,51.24,23.4,435.8,0.0
2019,8,33.53,11.4,346.2,0.0
2019,9,49.29,39.8,260.8,0.0
2019,10,92.42,69.8,455.8,0.0
2019,11,134.17,135.6,549.6,0.0
2019,12,147.11,130.4,496.6,0.0
2020,1,214.17,191.2,966.6,0.0
2020,2,206.82,187.4,653.6,0.0
2020,3,181.6,163.0,898.6,5.0
2020,4,117.08,71.2,605.0,0.0
2020,5,90.37,63.2,503.0,0.0
2020,6,65.06,20.0,422.0,0.0
2020,7,47.69,9.4,500.2,0.0
2020,8,44.33,17.0,293.2,0.0
2020,9,41.24,18.4,246.8,0.0
2020,10,87.94,84.5,304.8,0.0
2020,11,127.84,121.0,423.4,0.0
2020,12,168.08,156.1,596.0,0.0
2021,1,166.81,159.6,531.6,1.2
2021,2,198.7,162.1,633.8,0.2
2021,3,143.93,116.8,695.0,3.2
2021,4,81.72,54.2,513.4,1.0
2021,5,66.69,29.6,535.4,0.0
2021,6,60.73,30.5,300.2,0.0
2021,7,25.78,7.3,274.2,0.0
2021,8,37.1,20.0,309.0,0.0
2021,9,62.18,29.8,279.0,0.0
2021,10,160.58,153.3,430.4,0.0
2021,11,163.22,153.2,518.6,0.0
2021,12,212.87,201.7,785.0,0.0
